State,City,Category,gasdate,Date Local,NO2 Units,NO2 Mean,O3 Units,O3 Mean,SO2 Units,SO2 Mean,CO Units,CO Mean
Alabama,Birmingham,,,4/2/2014,Parts per billion,5.87,Parts per million,0.023385,Parts per billion,0.284615,Parts per million,0.187143
Alabama,Birmingham,,,4/3/2014,Parts per billion,6.775,Parts per million,0.0195,Parts per billion,0.0125,Parts per million,0.21
Alabama,Birmingham,,,4/4/2014,Parts per billion,9.892308,Parts per million,0.024524,Parts per billion,0.115789,Parts per million,0.139474
Alabama,Birmingham,,,4/5/2014,Parts per billion,2.554167,Parts per million,0.0315,Parts per billion,0.209091,Parts per million,0.165909
Alabama,Birmingham,,,4/6/2014,Parts per billion,6.604167,Parts per million,0.021625,Parts per billion,1.109091,Parts per million,0.173636
Alabama,Birmingham,,4/7/2014,4/7/2014,Parts per billion,6.041667,Parts per million,0.022875,Parts per billion,0.37,Parts per million,0.1415
Alabama,Birmingham,,,4/8/2014,Parts per billion,4.304545,Parts per million,0.033375,Parts per billion,0.168182,Parts per million,0.157
Alabama,Birmingham,,,4/9/2014,Parts per billion,8.469565,Parts per million,0.025292,Parts per billion,0.17619,Parts per million,0.194762
Alabama,Birmingham,,,4/10/2014,Parts per billion,13.595833,Parts per million,0.030917,Parts per billion,1.009091,Parts per million,0.297273
Alabama,Birmingham,,,4/11/2014,Parts per billion,11.466667,Parts per million,0.024917,Parts per billion,1.045455,Parts per million,0.233158
Alabama,Birmingham,,,4/12/2014,Parts per billion,12.845833,Parts per million,0.028375,Parts per billion,1.777273,Parts per million,0.245909
Alabama,Birmingham,,,4/13/2014,Parts per billion,2.770833,Parts per million,0.031375,Parts per billion,0.581818,Parts per million,0.122727
Alabama,Birmingham,,4/14/2014,4/14/2014,Parts per billion,8.6625,Parts per million,0.01875,Parts per billion,0.588889,Parts per million,0.1885
Alabama,Birmingham,,,4/15/2014,Parts per billion,2.545833,Parts per million,0.030125,Parts per billion,0.045,Parts per million,0.123182
Alabama,Birmingham,,,4/16/2014,Parts per billion,7.295833,Parts per million,0.033417,Parts per billion,1.786364,Parts per million,0.189545
Alabama,Birmingham,,,4/17/2014,Parts per billion,4.491667,Parts per million,0.034125,Parts per billion,0.895455,Parts per million,0.113636
Alabama,Birmingham,,,4/18/2014,Parts per billion,6.358333,Parts per million,0.026667,Parts per billion,1.590909,Parts per million,0.136364
Alabama,Birmingham,,,4/19/2014,Parts per billion,5.7,Parts per million,0.031875,Parts per billion,4.045455,Parts per million,0.158182
Alabama,Birmingham,,,4/20/2014,Parts per billion,8.95,Parts per million,0.02925,Parts per billion,2.109091,Parts per million,0.212273
Alabama,Birmingham,,4/21/2014,4/21/2014,Parts per billion,15.427273,Parts per million,0.005,Parts per billion,2.015,Parts per million,0.2685
Alabama,Birmingham,,,4/22/2014,Parts per billion,11.7,Parts per million,0.021923,Parts per billion,0.45,Parts per million,0.249091
Alabama,Birmingham,,,4/23/2014,Parts per billion,8.7,Parts per million,0.03425,Parts per billion,0.786364,Parts per million,0.168824
Alabama,Birmingham,,,4/24/2014,Parts per billion,13.333333,Parts per million,0.0415,Parts per billion,2.509091,Parts per million,0.242273
Alabama,Birmingham,,,4/25/2014,Parts per billion,5.333333,Parts per million,0.033708,Parts per billion,0.163636,Parts per million,0.145909
Alabama,Birmingham,,,4/26/2014,Parts per billion,12.520833,Parts per million,0.034,Parts per billion,1.677273,Parts per million,0.296364
Alabama,Birmingham,,,4/27/2014,Parts per billion,7.05,Parts per million,0.022,Parts per billion,0.645455,Parts per million,0.169545
Alabama,Birmingham,,4/28/2014,4/28/2014,Parts per billion,3.6125,Parts per million,0.020792,Parts per billion,0.315,Parts per million,0.11
